taxonomic_order,common_name,scientific_name,
218,White-faced Whistling-Duck,Dendrocygna viduata,
220,Black-bellied Whistling-Duck,Dendrocygna autumnalis,
225,Fulvous Whistling-Duck,Dendrocygna bicolor,
249,Graylag Goose (Domestic type),Anser anser (Domestic type),
273,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),
332,Black-necked Swan,Cygnus melancoryphus,
345,Coscoroba Swan,Coscoroba coscoroba,
350,Andean Goose,Oressochen melanopterus,
355,Upland Goose,Chloephaga picta,
356,Kelp Goose,Chloephaga hybrida,
359,Ashy-headed Goose,Chloephaga poliocephala,
360,Ruddy-headed Goose,Chloephaga rubidiceps,
378,Flying Steamer-Duck,Tachyeres patachonicus,
379,Flightless Steamer-Duck,Tachyeres pteneres,
383,steamer-duck sp.,Tachyeres sp.,
384,Crested Duck,Lophonetta specularioides,
387,Spectacled Duck,Speculanas specularis,
407,Torrent Duck,Merganetta armata,
418,Silver Teal,Spatula versicolor,
421,Puna Teal,Spatula puna,
422,Blue-winged Teal,Spatula discors,
423,Cinnamon Teal,Spatula cyanoptera,
431,Red Shoveler,Spatula platalea,
451,Chiloe Wigeon,Mareca sibilatrix,
474,Mallard (Domestic type),Anas platyrhynchos (Domestic type),
475,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,
507,White-cheeked Pintail,Anas bahamensis,
524,Yellow-billed Pintail,Anas georgica,
543,Yellow-billed Teal,Anas flavirostris,
562,Anas sp.,Anas sp.,
564,dabbling duck sp.,Anatidae sp. (dabbling duck sp.),
574,Rosy-billed Pochard,Netta peposaca,
672,Black-headed Duck,Heteronetta atricapilla,
675,Andean Duck,Oxyura ferruginea,
682,Lake Duck,Oxyura vittata,
683,Andean/Lake Duck,Oxyura ferruginea/vittata,
688,duck sp.,Anatinae sp.,
1715,Chilean Flamingo,Phoenicopterus chilensis,
1720,Andean Flamingo,Phoenicoparrus andinus,
1721,James's Flamingo,Phoenicoparrus jamesi,
1722,flamingo sp.,Phoenicopteridae sp.,
1723,White-tufted Grebe,Rollandia rolland,
1756,Pied-billed Grebe,Podilymbus podiceps,
1764,Great Grebe,Podiceps major,
1783,Silvery Grebe,Podiceps occipitalis,
1787,Hooded Grebe,Podiceps gallardoi,
1797,grebe sp.,Podicipedidae sp.,
5117,Austral Rail,Rallus antarcticus,
5230,Spotted Rail,Pardirallus maculatus,
5236,Plumbeous Rail,Pardirallus sanguinolentus,
5262,Spot-flanked Gallinule,Porphyriops melanops,
5269,Dot-winged Crake,Porzana spiloptera,
5280,Common Gallinule,Gallinula galeata,
5295,Red-fronted Coot,Fulica rufifrons,
5296,Horned Coot,Fulica cornuta,
5297,Giant Coot,Fulica gigantea,
5298,Red-gartered Coot,Fulica armillata,
5316,Slate-colored Coot,Fulica ardesiaca,
5320,White-winged Coot,Fulica leucoptera,
5321,coot sp.,Fulica sp.,
5323,Purple Gallinule,Porphyrio martinica,
5466,Black Rail,Laterallus jamaicensis,
5477,rail/crake sp.,Rallidae sp. (rail/crake sp.),
5490,Limpkin,Aramus guarauna,
5536,Snowy Sheathbill,Chionis albus,
5542,Magellanic Plover,Pluvianellus socialis,
5564,Peruvian Thick-knee,Burhinus superciliaris,
5577,Black-necked Stilt,Himantopus mexicanus,
5586,Andean Avocet,Recurvirostra andina,
5604,American Oystercatcher,Haematopus palliatus,
5609,Blackish Oystercatcher,Haematopus ater,
5610,Magellanic Oystercatcher,Haematopus leucopodus,
5614,oystercatcher sp.,Haematopus sp.,
5615,Black-bellied Plover,Pluvialis squatarola,
5619,American Golden-Plover,Pluvialis dominica,
5621,American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva,
5623,Black-bellied Plover/golden-plover sp.,Pluvialis sp.,
5624,Tawny-throated Dotterel,Oreopholus ruficollis,
5667,Southern Lapwing,Vanellus chilensis,
5673,Andean Lapwing,Vanellus resplendens,
5692,Collared Plover,Charadrius collaris,
5693,Puna Plover,Charadrius alticola,
5694,Two-banded Plover,Charadrius falklandicus,
5707,Snowy Plover,Charadrius nivosus,
5712,Wilson's Plover,Charadrius wilsonia,
5720,Semipalmated Plover,Charadrius semipalmatus,
5742,Killdeer,Charadrius vociferus,
5750,Rufous-chested Dotterel,Charadrius modestus,
5751,small plover sp.,Charadrius sp.,
5758,Diademed Sandpiper-Plover,Phegornis mitchellii,
5761,Rufous-bellied Seedsnipe,Attagis gayi,
5765,White-bellied Seedsnipe,Attagis malouinus,
5766,Gray-breasted Seedsnipe,Thinocorus orbignyianus,
5769,Least Seedsnipe,Thinocorus rumicivorus,
5776,South American Painted-Snipe,Nycticryphes semicollaris,
5790,Wattled Jacana,Jacana jacana,
5801,Upland Sandpiper,Bartramia longicauda,
5802,Bristle-thighed Curlew,Numenius tahitiensis,
5803,Whimbrel,Numenius phaeopus,
5821,curlew sp.,Numenius sp.,
5822,Bar-tailed Godwit,Limosa lapponica,
5831,Hudsonian Godwit,Limosa haemastica,
5832,Marbled Godwit,Limosa fedoa,
5836,Ruddy Turnstone,Arenaria interpres,
5845,Red Knot,Calidris canutus,
5852,Surfbird,Calidris virgata,
5860,Stilt Sandpiper,Calidris himantopus,
5861,Curlew Sandpiper,Calidris ferruginea,
5866,Sanderling,Calidris alba,
5889,Baird's Sandpiper,Calidris bairdii,
5892,Least Sandpiper,Calidris minutilla,
5893,White-rumped Sandpiper,Calidris fuscicollis,
5895,Buff-breasted Sandpiper,Calidris subruficollis,
5897,Pectoral Sandpiper,Calidris melanotos,
5900,Semipalmated Sandpiper,Calidris pusilla,
5901,Western Sandpiper,Calidris mauri,
5902,Semipalmated/Western Sandpiper,Calidris pusilla/mauri,
5903,peep sp.,Calidris sp. (peep sp.),
5904,Calidris sp.,Calidris sp.,
5906,Short-billed Dowitcher,Limnodromus griseus,
5931,Fuegian Snipe,Gallinago stricklandii,
5944,South American Snipe,Gallinago paraguaiae,
5948,Puna Snipe,Gallinago andina,
5962,snipe sp.,Gallinago sp.,
5964,Wilson's Phalarope,Phalaropus tricolor,
5965,Red-necked Phalarope,Phalaropus lobatus,
5966,Red Phalarope,Phalaropus fulicarius,
5967,Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius,
5968,phalarope sp.,Phalaropus sp.,
5970,Spotted Sandpiper,Actitis macularius,
5973,Solitary Sandpiper,Tringa solitaria,
5977,Wandering Tattler,Tringa incana,
5980,Greater Yellowlegs,Tringa melanoleuca,
5984,Willet,Tringa semipalmata,
5987,Lesser Yellowlegs,Tringa flavipes,
5988,Greater/Lesser Yellowlegs,Tringa melanoleuca/flavipes,
5998,Tringa sp.,Tringa sp.,
5999,Scolopacidae sp.,Scolopacidae sp.,
6110,shorebird sp.,Charadriiformes sp.,
6196,Swallow-tailed Gull,Creagrus furcatus,
6203,Sabine's Gull,Xema sabini,
6210,Bonaparte's Gull,Chroicocephalus philadelphia,
6211,Andean Gull,Chroicocephalus serranus,
6212,Brown-hooded Gull,Chroicocephalus maculipennis,
6221,Gray-hooded Gull,Chroicocephalus cirrocephalus,
6233,Dolphin Gull,Leucophaeus scoresbii,
6234,Gray Gull,Leucophaeus modestus,
6235,Laughing Gull,Leucophaeus atricilla,
6238,Franklin's Gull,Leucophaeus pipixcan,
6250,Belcher's Gull,Larus belcheri,
6275,Herring Gull,Larus argentatus,
6333,Kelp Gull,Larus dominicanus,
6340,Larus sp.,Larus sp.,
6341,gull sp.,Larinae sp.,
6342,Brown Noddy,Anous stolidus,
6362,Gray Noddy,Anous albivitta,
6372,White Tern,Gygis alba,
6378,Sooty Tern,Onychoprion fuscatus,
6387,Gray-backed Tern,Onychoprion lunatus,
6404,Least Tern,Sternula antillarum,
6417,Peruvian Tern,Sternula lorata,
6421,Large-billed Tern,Phaetusa simplex,
6424,Gull-billed Tern,Gelochelidon nilotica,
6434,Black Tern,Chlidonias niger,
6457,Common Tern,Sterna hirundo,
6464,Arctic Tern,Sterna paradisaea,
6467,South American Tern,Sterna hirundinacea,
6479,Snowy-crowned Tern,Sterna trudeaui,
6485,Sterna sp.,Sterna sp.,
6486,Royal Tern,Thalasseus maximus,
6494,Sandwich Tern,Thalasseus sandvicensis,
6499,Elegant Tern,Thalasseus elegans,
6501,Royal/Elegant Tern,Thalasseus maximus/elegans,
6510,tern sp.,Sterninae sp.,
6511,Black Skimmer,Rynchops niger,
6517,gull/tern sp.,Laridae sp.,
6523,White-tailed Tropicbird,Phaethon lepturus,
6530,Red-billed Tropicbird,Phaethon aethereus,
6534,Red-tailed Tropicbird,Phaethon rubricauda,
6540,tropicbird sp.,Phaethon sp.,
6996,Neotropic Cormorant,Phalacrocorax brasilianus,
7073,Least Bittern,Ixobrychus exilis,
7079,Stripe-backed Bittern,Ixobrychus involucris,
7106,Cocoi Heron,Ardea cocoi,
7124,Great Egret,Ardea alba,
7152,Snowy Egret,Egretta thula,
7156,Little Blue Heron,Egretta caerulea,
7158,Tricolored Heron,Egretta tricolor,
7170,Cattle Egret,Bubulcus ibis,
7173,white egret sp.,Ardea/Egretta/Bubulcus sp.,
7189,Striated Heron,Butorides striata,
7220,Whistling Heron,Syrigma sibilatrix,
7227,Black-crowned Night-Heron,Nycticorax nycticorax,
7240,Yellow-crowned Night-Heron,Nyctanassa violacea,
7269,White-faced Ibis,Plegadis chihi,
7272,Puna Ibis,Plegadis ridgwayi,
7279,Bare-faced Ibis,Phimosus infuscatus,
7287,Black-faced Ibis,Theristicus melanopis,
7288,Andean Ibis,Theristicus branickii,
7289,Black-faced/Andean Ibis,Theristicus melanopis/branickii,
7329,Roseate Spoonbill,Platalea ajaja,